smartmontools 7.5-1.1
s-nail 14.9.25-1.1
snapper 0.13.1-2.1
snapshot 50.0-1.1
sof-firmware 2025.12.2-1
starship 1.26.0-1
steam 1.0.0.87-1
sudo 1.9.17.p2-6.1
sushi 50.0-1.1
sysfsutils 2.1.1-2.2
texinfo 7.3-1.1
thunar 4.20.9-1.1
trash-cli 0.24.5.26-3
ttf-bitstream-vera 1.10-16
ttf-dejavu 2.37+18+g9b5d1b2f-8
ttf-jetbrains-mono-nerd 3.5.0-1
ttf-liberation 2.1.5-2
ttf-meslo-nerd 3.5.0-1
ttf-opensans 3.003-1
ufw 0.36.2-7
ufw-extras 1.3.0-1
unrar 1:7.2.7-1.1
unzip 6.0-23.1
upower 1.91.3-1.1
usb_modeswitch 2.6.2.20251207-1.1
usbutils 019-1.1
uwsm 0.26.6-1
vesktop-bin 1.6.5-2
vim 9.2.0849-1.1
vpl-gpu-rt 26.2.4-1.1
vulkan-intel 3:26.1.6-1
wget 1.25.0-6.1
which 2.25-1.1
wireplumber 0.5.15-1.1
wl-clipboard 1:2.3.0-1.1
wpa_supplicant 2:2.12-1.1
xdg-desktop-portal-gtk 1.15.3-1.1
xdg-desktop-portal-hyprland 1.4.1-1.1
xdg-user-dirs 0.20-1.1
xfsprogs 7.1.1-1.1
xl2tpd 1.3.20-1.1
ydotool 1.0.4-2.1
zoxide 0.10.0-1.1
